kcluster,n_movements,p_movements,visit_SPRGRP_NAME,home_SPRGRP_NAME
3,2106,0.00594989207698132,Suburbanites,Constrained City Dwellers
2,781,0.0022064889421284,Suburbanites,Constrained City Dwellers
3,2528,0.00714213066030806,Cosmopolitans,Constrained City Dwellers
2,1031,0.00291279142040254,Cosmopolitans,Constrained City Dwellers
0,615106,0.278509601039228,Cosmopolitans,Multicultural Metropolitans
2,3682,0.00166714737139036,Cosmopolitans,Multicultural Metropolitans
3,11040,0.00499872541557565,Cosmopolitans,Multicultural Metropolitans
0,77864,0.133662236092443,Urbanites,Cosmopolitans
1,4177,0.0071702861419672,Urbanites,Cosmopolitans
1,468,0.000803374171520386,Rural Residents,Cosmopolitans
0,26562,0.0120268246819312,Rural Residents,Multicultural Metropolitans
3,9345,0.00423125806236906,Rural Residents,Multicultural Metropolitans
2,2568,0.00440825827449648,Suburbanites,Cosmopolitans
2,3692,0.00633772957532749,Urbanites,Cosmopolitans
2,3971,0.00179800168706983,Rural Residents,Multicultural Metropolitans
2,1918,0.000868437984336422,Constrained City Dwellers,Multicultural Metropolitans
3,10589,0.0047945202378198,Urbanites,Multicultural Metropolitans
3,5863,0.00265466731082609,Suburbanites,Multicultural Metropolitans
1,2778,0.00613614827478812,Constrained City Dwellers,Rural Residents
2,736,0.00207935449603906,Hard-pressed living,Constrained City Dwellers
0,695754,0.479152591747811,Cosmopolitans,Ethnicity Central
1,29431,0.0202685718339094,Cosmopolitans,Ethnicity Central
0,256464,0.440249045993171,Ethnicity Central,Cosmopolitans
3,2994,0.00513953476395734,Suburbanites,Cosmopolitans
1,5404,0.00530685275349453,Cosmopolitans,Suburbanites
1,7295,0.00942957227615268,Rural Residents,Hard-pressed living
3,3120,0.00403293564106873,Ethnicity Central,Hard-pressed living
1,7103,0.00918139162131768,Suburbanites,Hard-pressed living
3,5177,0.0066918294275041,Cosmopolitans,Hard-pressed living
1,7321,0.00946318007316159,Constrained City Dwellers,Hard-pressed living
1,2783,0.00359732688753022,Cosmopolitans,Hard-pressed living
2,2147,0.00210840356435099,Hard-pressed living,Suburbanites
1,1062,0.00234578454565334,Cosmopolitans,Rural Residents
3,6211,0.00488745707441903,Constrained City Dwellers,Urbanites
3,6824,0.00536982886424657,Hard-pressed living,Urbanites
1,6553,0.0051565780403587,Rural Residents,Urbanites
1,7970,0.01760442827576,Urbanites,Rural Residents
0,44558,0.0201751093357989,Hard-pressed living,Multicultural Metropolitans
2,2760,0.0060963892146923,Multicultural Metropolitans,Rural Residents
2,1927,0.000872513032229554,Hard-pressed living,Multicultural Metropolitans
0,113383,0.19463455916559,Multicultural Metropolitans,Cosmopolitans
3,6156,0.0105674602561528,Ethnicity Central,Cosmopolitans
3,5424,0.00931090065454396,Urbanites,Cosmopolitans
2,1294,0.00222129525202431,Hard-pressed living,Cosmopolitans
1,10060,0.00791624829635412,Multicultural Metropolitans,Urbanites
1,9587,0.0043408315723844,Urbanites,Multicultural Metropolitans
1,1069,0.00236124640235727,Multicultural Metropolitans,Rural Residents
1,19648,0.0135312051711682,Multicultural Metropolitans,Ethnicity Central
1,1018,0.0017475104842046,Constrained City Dwellers,Cosmopolitans
1,5983,0.00470804309712591,Constrained City Dwellers,Urbanites
3,8839,0.00695543923374494,Ethnicity Central,Urbanites
2,3018,0.00237487448890624,Hard-pressed living,Urbanites
3,8499,0.00668789207462362,Multicultural Metropolitans,Urbanites
2,2748,0.00606988317462842,Hard-pressed living,Rural Residents
2,1199,0.00205821716165159,Constrained City Dwellers,Cosmopolitans
2,3324,0.00570601655156787,Rural Residents,Cosmopolitans
0,17264,0.0296355805494187,Constrained City Dwellers,Cosmopolitans
2,2150,0.00277910629112108,Cosmopolitans,Hard-pressed living
2,1470,0.00190013313858046,Constrained City Dwellers,Hard-pressed living
2,1192,0.00154078823210062,Multicultural Metropolitans,Hard-pressed living
2,1198,0.00154854387756421,Ethnicity Central,Hard-pressed living
1,12021,0.00945936588175675,Cosmopolitans,Urbanites
2,2918,0.0022961841479882,Constrained City Dwellers,Urbanites
0,12761,0.0219056790657514,Hard-pressed living,Cosmopolitans
3,1713,0.00294055546114192,Constrained City Dwellers,Cosmopolitans
3,4627,0.00794276130689065,Rural Residents,Cosmopolitans
2,2086,0.00358085154228958,Ethnicity Central,Cosmopolitans
3,1763,0.00302638603502231,Hard-pressed living,Cosmopolitans
0,10125,0.00697289558011392,Rural Residents,Ethnicity Central
1,2001,0.00565324503610618,Cosmopolitans,Constrained City Dwellers
3,1629,0.00460226694843427,Ethnicity Central,Constrained City Dwellers
1,3402,0.00751446235810986,Suburbanites,Rural Residents
0,112121,0.0772156074407855,Urbanites,Ethnicity Central
0,31498,0.0216920755538201,Suburbanites,Ethnicity Central
2,1639,0.00074211149964932,Ethnicity Central,Multicultural Metropolitans
2,1671,0.00115078602611065,Multicultural Metropolitans,Ethnicity Central
1,921,0.00158099917087666,Suburbanites,Cosmopolitans
1,21096,0.00955191226150216,Cosmopolitans,Multicultural Metropolitans
3,5666,0.00556414280186899,Ethnicity Central,Suburbanites
1,5988,0.0102790695279147,Multicultural Metropolitans,Cosmopolitans
2,1948,0.00134155067556167,Suburbanites,Ethnicity Central
3,10447,0.00473022503772815,Ethnicity Central,Multicultural Metropolitans
2,2254,0.00102057310568003,Suburbanites,Multicultural Metropolitans
2,1358,0.000935228859041452,Constrained City Dwellers,Ethnicity Central
3,4121,0.00532683582591161,Multicultural Metropolitans,Hard-pressed living
3,5367,0.00369615116824409,Multicultural Metropolitans,Ethnicity Central
1,2391,0.00675507690221383,Multicultural Metropolitans,Constrained City Dwellers
3,3406,0.00234564763909808,Suburbanites,Ethnicity Central
1,2361,0.00106902089729838,Constrained City Dwellers,Multicultural Metropolitans
2,738,0.00208500491586525,Multicultural Metropolitans,Constrained City Dwellers
3,3809,0.00172465082499345,Constrained City Dwellers,Multicultural Metropolitans
2,2839,0.0019551654866117,Rural Residents,Ethnicity Central
3,5582,0.00384421759290824,Rural Residents,Ethnicity Central
0,16883,0.0116270020818828,Constrained City Dwellers,Ethnicity Central
1,12735,0.0218610471673336,Ethnicity Central,Cosmopolitans
2,3034,0.00208945829037685,Urbanites,Ethnicity Central
1,878,0.000604661957465681,Suburbanites,Ethnicity Central
1,165,0.000113632372416671,Rural Residents,Ethnicity Central
1,5150,0.0040525525572787,Ethnicity Central,Urbanites
1,3366,0.0023181003973001,Urbanites,Ethnicity Central
0,12900,0.00888398547984885,Hard-pressed living,Ethnicity Central
2,2269,0.00178548383543017,Ethnicity Central,Urbanites
2,1425,0.00098137048905307,Hard-pressed living,Ethnicity Central
1,2485,0.00112516600160376,Hard-pressed living,Multicultural Metropolitans
1,3229,0.00146203662743603,Suburbanites,Multicultural Metropolitans
1,4340,0.00560991688533278,Multicultural Metropolitans,Hard-pressed living
3,4104,0.00185822183926834,Hard-pressed living,Multicultural Metropolitans
1,33229,0.0150455296045438,Ethnicity Central,Multicultural Metropolitans
2,2696,0.00185668409718391,Cosmopolitans,Ethnicity Central
1,2103,0.00594141644724203,Suburbanites,Constrained City Dwellers
1,2609,0.00256209822980519,Ethnicity Central,Suburbanites
3,2158,0.00148617369500107,Hard-pressed living,Ethnicity Central
3,2409,0.0016590326372834,Constrained City Dwellers,Ethnicity Central
1,437,0.000300953616642942,Hard-pressed living,Ethnicity Central
2,548,0.00154821503237691,Ethnicity Central,Constrained City Dwellers
1,1222,0.00345240651380398,Ethnicity Central,Constrained City Dwellers
1,1185,0.00153173997905976,Ethnicity Central,Hard-pressed living
1,1079,0.000488552964076642,Rural Residents,Multicultural Metropolitans
1,576,0.000396680281890925,Constrained City Dwellers,Ethnicity Central
1,697,0.00119647819989254,Hard-pressed living,Cosmopolitans
1,282,0.00062289194150117,Ethnicity Central,Rural Residents
